Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
04/08/2020,704,36,173,11,86,100,107,154,129,69,48,0,320,347,37,171,21,299,103,32,78,0,0,0,1,7,8,9,11,0,13,23,0,3,2,22,9,0,0,1,1,14,16,37,41,37,26,0,64,108,1,38,5,88,30,12,0
10/16/2020,936,3,50,112,237,177,156,133,72,34,15,0,490,439,7,339,19,165,218,31,164,0,0,0,0,0,2,0,1,0,1,2,0,0,0,3,0,0,0,1,5,6,3,10,11,10,4,0,29,20,1,13,1,13,10,4,9
04/16/2020,681,30,157,8,119,114,120,122,95,62,41,0,320,353,8,233,15,203,94,27,109,0,0,0,2,3,6,8,11,0,14,16,0,5,3,16,6,0,0,0,6,11,16,34,33,33,24,0,55,100,2,45,2,74,23,11,2
09/10/2020,321,2,19,23,117,66,44,36,26,5,4,0,184,136,1,130,7,43,95,4,42,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,3,1,3,3,7,2,0,0,14,5,0,7,0,6,4,1,1
07/24/2020,347,3,26,38,103,77,47,39,21,11,11,0,197,148,2,128,12,74,67,12,54,0,0,1,0,1,1,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,6,3,4,2,5,0,13,13,0,8,1,13,4,0,0
03/25/2020,367,5,125,2,51,71,72,82,33,36,20,0,169,197,1,49,10,185,85,18,20,0,0,1,0,1,1,0,2,0,3,2,0,1,0,3,1,0,0,0,6,16,17,25,16,28,17,0,55,70,0,13,2,92,15,3,0
08/29/2020,227,4,27,24,70,35,40,24,22,12,0,0,123,104,0,98,6,26,57,6,34,0,0,0,0,1,1,1,1,0,2,2,0,1,1,0,2,0,0,2,3,4,2,4,5,7,0,0,12,15,0,11,0,8,5,0,3
10/13/2020,865,5,37,86,247,190,134,108,57,24,19,0,438,424,3,356,17,120,187,44,141,0,0,0,0,0,2,2,1,0,1,4,0,1,0,3,1,0,0,2,3,3,7,5,8,5,4,0,20,17,0,11,2,8,10,3,3
04/30/2020,1271,40,168,57,231,222,227,186,150,95,103,0,621,626,24,538,22,212,147,47,305,0,0,3,0,4,8,11,14,0,17,23,0,13,1,18,8,0,0,1,11,15,13,34,39,26,29,0,74,92,2,59,8,55,31,10,5
10/25/2020,517,9,51,64,135,122,64,64,39,18,11,0,275,239,3,123,11,81,145,30,127,0,0,0,1,0,4,3,1,0,4,5,0,3,0,4,2,0,0,2,6,4,7,10,11,8,3,0,25,26,0,12,0,23,10,5,1
